spoke_id,dataset_id,cover_configuration_id,facet_class,is_ib2_anchor,sealed_ib2_edge_id,ref_diagram_sha256,cell_diagram_sha256,D_C,D_C_hex,D_C_repr,sealed_anchor_float_hex,sealed_anchor_repr,abs_diff_anchor,anchor_binary64_equal,disposition
IV1CA__swiss_roll_with_hole__L05_P050,swiss_roll_with_hole,L05_P050,mixed,False,,7e578763c0b4011acf1a465c004136bf651d371fbe205d3b105841b55b8241ea,e153bcaaf64eb2fe1259bbdf8c23d681726f79c772ee822351709695e9b9fee8,0.8509330357937905,0x1.b3ad7eafa4020p-1,0.8509330357937905,,,,,evaluated
IV1CA__swiss_roll_with_hole__L10_P020,swiss_roll_with_hole,L10_P020,overlap_only,True,IB2_EDGE__swiss_roll_with_hole__L10_P020__L10_P030,7e578763c0b4011acf1a465c004136bf651d371fbe205d3b105841b55b8241ea,4fc27dae44d38c720168d070dd1acd516a7e49d7c7626fcc11f9b4e6ca3b5b13,0.8024984179596641,0x1.9ae1129874fd8p-1,0.8024984179596641,0x1.9ae1129874fd8p-1,0.8024984179596641,0.0,True,evaluated_anchor_confirmed
IV1CA__swiss_roll_with_hole__L10_P050,swiss_roll_with_hole,L10_P050,overlap_only,True,IB2_EDGE__swiss_roll_with_hole__L10_P030__L10_P050,7e578763c0b4011acf1a465c004136bf651d371fbe205d3b105841b55b8241ea,8bc4d61a784c3d4a3ab66287be036bdbe5ba9b47bf8a4bf7e950357efa5df452,0.40725634953294687,0x1.a107cef954540p-2,0.40725634953294687,0x1.a107cef954540p-2,0.40725634953294687,0.0,True,evaluated_anchor_confirmed
IV1CA__swiss_roll_with_hole__L15_P020,swiss_roll_with_hole,L15_P020,mixed,False,,7e578763c0b4011acf1a465c004136bf651d371fbe205d3b105841b55b8241ea,5bbba9d1da4fe297415901d2716566c0258d62cbc5bacd6c87b5180cd35835f8,0.6104137873424054,0x1.388827eb5385cp-1,0.6104137873424054,,,,,evaluated
IV1CA__swiss_roll_with_hole__L15_P030,swiss_roll_with_hole,L15_P030,resolution_only,True,IB2_EDGE__swiss_roll_with_hole__L10_P030__L15_P030,7e578763c0b4011acf1a465c004136bf651d371fbe205d3b105841b55b8241ea,d1bfe6bf4788c9d507f7846275260416eefe5a38ab1b620d82d4c9f6c1193226,0.5874199541998744,0x1.2cc24ee89cd08p-1,0.5874199541998744,0x1.2cc24ee89cd08p-1,0.5874199541998744,0.0,True,evaluated_anchor_confirmed
IV1CA__swiss_roll_with_hole__L15_P050,swiss_roll_with_hole,L15_P050,mixed,False,,7e578763c0b4011acf1a465c004136bf651d371fbe205d3b105841b55b8241ea,926eb3e8eb9943793f8b03bed53a7ab73cded2b4ee9653bd3ce4252f8a12cb71,0.378975706915492,0x1.8412352cb8da0p-2,0.378975706915492,,,,,evaluated
IV1CA__swiss_roll_with_hole__L20_P020,swiss_roll_with_hole,L20_P020,mixed,False,,7e578763c0b4011acf1a465c004136bf651d371fbe205d3b105841b55b8241ea,fff1aca1fe4614308ec9a03314f8900f61e2ef514d45eee9ca7f6b12218d06a7,0.6644289224387201,0x1.54300718c81a0p-1,0.6644289224387201,,,,,evaluated
IV1CA__swiss_roll_with_hole__L20_P030,swiss_roll_with_hole,L20_P030,resolution_only,False,,7e578763c0b4011acf1a465c004136bf651d371fbe205d3b105841b55b8241ea,dac4df8d25f30d9453c69f86c155d4426983ea84b30edb32f0fabe345b71ecdd,0.6616942826581651,0x1.52c997cfef1a8p-1,0.6616942826581651,,,,,evaluated
IV1CA__swiss_roll_with_hole__L20_P050,swiss_roll_with_hole,L20_P050,mixed,False,,7e578763c0b4011acf1a465c004136bf651d371fbe205d3b105841b55b8241ea,09fd42b0e7bf58003e1a00ab8a8721fc23090e3d8cb787c04168e3dbfcf674fd,0.46837050411451964,0x1.df9c847654e28p-2,0.46837050411451964,,,,,evaluated
IV1CA__digits_1797x64_scaled16__L05_P020,digits_1797x64_scaled16,L05_P020,mixed,False,,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,98e321f15f0eafbcaad1e69ce45283f9fcea8646dead29e8f35924ba8f9ec439,0.31580822771941763,0x1.43633b6773528p-2,0.31580822771941763,,,,,evaluated
IV1CA__digits_1797x64_scaled16__L05_P030,digits_1797x64_scaled16,L05_P030,resolution_only,True,IB2_EDGE__digits_1797x64_scaled16__L05_P030__L10_P030,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,5701eb72196b46fb89172341151e2768c00358411c0da069a9677fbddbd629fc,0.3529930342761308,0x1.69770187ba26ep-2,0.3529930342761308,0x1.69770187ba26ep-2,0.3529930342761308,0.0,True,evaluated_anchor_confirmed
IV1CA__digits_1797x64_scaled16__L05_P050,digits_1797x64_scaled16,L05_P050,mixed,False,,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,54bcb08129268b7aec92b74b5dc0d72810718984b1ce5758e47d087477ff4736,0.4234247626405454,0x1.b19642cf6e4a4p-2,0.4234247626405454,,,,,evaluated
IV1CA__digits_1797x64_scaled16__L10_P020,digits_1797x64_scaled16,L10_P020,overlap_only,True,IB2_EDGE__digits_1797x64_scaled16__L10_P020__L10_P030,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,1b6b8c076cd004af403a5dd808b7c8fe3be936e29b901d9eca6e66bc9993ca38,0.46965769182631,0x1.e0edf22ad5dc4p-2,0.46965769182631,0x1.e0edf22ad5dc4p-2,0.46965769182631,0.0,True,evaluated_anchor_confirmed
IV1CA__digits_1797x64_scaled16__L10_P050,digits_1797x64_scaled16,L10_P050,overlap_only,True,IB2_EDGE__digits_1797x64_scaled16__L10_P030__L10_P050,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,7578a315227a76d161fa940714062300753631c1d62770d943a24f368ddaa264,0.40550718153290777,0x1.9f3d464be86bep-2,0.40550718153290777,0x1.9f3d464be86bep-2,0.40550718153290777,0.0,True,evaluated_anchor_confirmed
IV1CA__digits_1797x64_scaled16__L15_P020,digits_1797x64_scaled16,L15_P020,mixed,False,,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,194a6a9336721eedcb08d5a9d351737580a8d75d1d069b827ddde4caf067aa15,0.49481476163461147,0x1.fab0b88b31dc4p-2,0.49481476163461147,,,,,evaluated
IV1CA__digits_1797x64_scaled16__L15_P030,digits_1797x64_scaled16,L15_P030,resolution_only,True,IB2_EDGE__digits_1797x64_scaled16__L10_P030__L15_P030,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,f5e9a474c267425d8a01617fba83ae68c5eebae144276a6f19fc28e0cbe561ec,0.3599643323181946,0x1.709a7d6c21eaap-2,0.3599643323181946,0x1.709a7d6c21eaap-2,0.3599643323181946,0.0,True,evaluated_anchor_confirmed
IV1CA__digits_1797x64_scaled16__L15_P050,digits_1797x64_scaled16,L15_P050,mixed,False,,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,49fd6e09d032ab4cd931c53d31c910704341d403048a4ba0a89b2ceef639dc9f,0.40553424593058884,0x1.9f445e8eb837cp-2,0.40553424593058884,,,,,evaluated
IV1CA__digits_1797x64_scaled16__L20_P020,digits_1797x64_scaled16,L20_P020,mixed,False,,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,d0defcf66963fe6d57fe129acbbe52452e14e56c2beba37cf9c6dde63968a256,0.7231874972891348,0x1.7245a1b37741ap-1,0.7231874972891348,,,,,evaluated
IV1CA__digits_1797x64_scaled16__L20_P030,digits_1797x64_scaled16,L20_P030,resolution_only,False,,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,2c86a948d8990eb7c4a1be6f2e52830baee700a7155fa77634bb11c0f1af4b43,0.4933011242886568,0x1.f923ee0f99686p-2,0.4933011242886568,,,,,evaluated
IV1CA__digits_1797x64_scaled16__L20_P050,digits_1797x64_scaled16,L20_P050,mixed,False,,ad3c7bea966372f598b3a95e3d3edb247cddfe7bcce54f97646130ac9dee0b07,0965a9b869828338ae9ad10df751eaf11bd0c95738ed86be38e1bd2cb0a665aa,0.40636264177133663,0x1.a01d8742e56e8p-2,0.40636264177133663,,,,,evaluated
