filter_id,canonical_definition,domain_id,orientation,definition_version,definition_sha256,legacy_m6_lens_id,same_filter_eligible
circle_height_y,"f(x,y) = y",unit_circle_R2,increasing_y,1.0.0,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,height,YES
tripod_height_y,"f(x,y) = y",branching_tripod_Y,increasing_y,1.0.0,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,height,YES
