reference_object_id,reference_type,space_name,lens_id,filter_definition_hash,critical_values,beta_0,beta_1,source_spec,canonical_representation_sha256,reference_version,status
circle_analytic_reeb,exact_continuous,unit_circle_S1,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,"[-1.0, 1.0]",1,1,specs/axis3_reeb_fidelity_spec_v1.1.0.md,0ab5c6c1ee5a95c94fc2d6ef9658068311a6e5a1b7dc0b0016950f454ae3b2bc,1.1.0,FROZEN
tripod_exact_pl_reeb,exact_PL,branching_tripod_Y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,"[-1.0, 0.0, 1.0]",1,0,specs/axis3_reeb_fidelity_spec_v1.1.0.md,f64882845a0a1c2fc50984ef069c56f9f693d3cf19d6ba4a35b544e78fc2eb2b,1.1.0,FROZEN
