dataset_id,method_id,noise_condition_id,noise_sigma,n_total,n_valid,n_fcm_nonconvergence,n_degenerate,fcm_nonconvergence_rate,bottleneck_mean,bottleneck_std,bottleneck_median,bottleneck_iqr,wasserstein_mean,wasserstein_std,wasserstein_median,wasserstein_iqr
swiss_roll_with_hole,conventional,sigma_0.00,0.0,1,1,0,0,0.0,1.7375523025320634e-308,0.0,1.7375523025320634e-308,0.0,0.0,0.0,0.0,0.0
swiss_roll_with_hole,conventional,sigma_0.01,0.01,30,30,0,0,0.0,0.3175865692126484,0.1388765695970284,0.2876390281399779,0.15922463667363163,1.180021406205319,0.44639992689779107,1.1291768044501698,0.5816884909167994
swiss_roll_with_hole,conventional,sigma_0.03,0.03,30,30,0,0,0.0,0.4414612990111678,0.21012034777810912,0.3906920890088781,0.2942243122246744,2.7180147712271894,0.7335514374928721,2.5537728500858847,0.8186945692257295
swiss_roll_with_hole,conventional,sigma_0.05,0.05,30,30,0,0,0.0,0.5589462956220733,0.24151241109813507,0.49359831755588157,0.32309640925461447,4.112496112775091,0.9611352002308938,3.9934329474107177,1.0200441719407984
swiss_roll_with_hole,conventional,sigma_0.08,0.08,30,30,0,0,0.0,0.7104058621215684,0.28515925338949777,0.6218109864526957,0.5309620731994078,5.794896481774917,0.9700443402842628,5.737960517015898,1.0653576970904384
swiss_roll_with_hole,conventional,sigma_0.10,0.1,30,30,0,0,0.0,0.6836082141312805,0.21287051246657188,0.6379392399709556,0.36324637868815934,6.481171128401028,1.0613418492225468,6.296243725403283,1.4868638437896973
swiss_roll_with_hole,f_mapper,sigma_0.00,0.0,1,1,0,0,0.0,2.1507699361758847e-308,0.0,2.1507699361758847e-308,0.0,0.0,0.0,0.0,0.0
swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,30,30,0,0,0.0,0.44685735793780285,0.1751116082551806,0.4479978748715947,0.282215270965652,1.176390496062657,0.42758484325628354,1.188246940217534,0.41165512872649335
swiss_roll_with_hole,f_mapper,sigma_0.03,0.03,30,30,0,0,0.0,0.5597790720393779,0.18324864544966474,0.5946739342054412,0.22604278238837106,2.874414739041174,0.7289941791689596,2.8725674587688887,0.9580134066408963
swiss_roll_with_hole,f_mapper,sigma_0.05,0.05,30,30,0,0,0.0,0.5963945691091012,0.18961886398764408,0.5677198474553693,0.18918046456880955,3.8422633818162013,0.8369983358612871,3.8200694935397603,1.0609642672830644
swiss_roll_with_hole,f_mapper,sigma_0.08,0.08,30,30,0,0,0.0,0.831784856393593,0.43468124116259155,0.6686357393391837,0.35660536651861285,5.291603202931645,1.106615122942297,5.10166454791386,1.5143280943775395
swiss_roll_with_hole,f_mapper,sigma_0.10,0.1,30,29,1,0,0.03333333333333333,0.7550101943198517,0.331384288684017,0.6709969845827741,0.352983385768864,5.808698874076235,1.1484082455915563,6.0333399026257375,1.6654405216173185
