dataset_id,method_id,noise_condition_id,noise_sigma,metric_id,n_valid_observations,mean,std,median,ci_95_low,ci_95_high,n_bootstrap_resamples
swiss_roll_with_hole,conventional,sigma_0.00,0.0,bottleneck_extended_pd,1,1.7375523025320634e-308,0.0,1.7375523025320634e-308,1.7375523025320634e-308,1.7375523025320634e-308,5000
swiss_roll_with_hole,conventional,sigma_0.00,0.0,wasserstein_extended_pd,1,0.0,0.0,0.0,0.0,0.0,5000
swiss_roll_with_hole,conventional,sigma_0.01,0.01,bottleneck_extended_pd,30,0.3175865692126484,0.1388765695970284,0.2876390281399779,0.2714878994717617,0.36979559382702926,5000
swiss_roll_with_hole,conventional,sigma_0.01,0.01,wasserstein_extended_pd,30,1.180021406205319,0.44639992689779107,1.1291768044501698,1.024621093751841,1.3392113474870118,5000
swiss_roll_with_hole,conventional,sigma_0.03,0.03,bottleneck_extended_pd,30,0.4414612990111678,0.21012034777810912,0.3906920890088781,0.37285129236171083,0.5179242690866784,5000
swiss_roll_with_hole,conventional,sigma_0.03,0.03,wasserstein_extended_pd,30,2.7180147712271894,0.7335514374928721,2.5537728500858847,2.479783206283376,2.9787172010087586,5000
swiss_roll_with_hole,conventional,sigma_0.05,0.05,bottleneck_extended_pd,30,0.5589462956220733,0.24151241109813507,0.49359831755588157,0.4747680176725994,0.6433350397537676,5000
swiss_roll_with_hole,conventional,sigma_0.05,0.05,wasserstein_extended_pd,30,4.112496112775091,0.9611352002308938,3.9934329474107177,3.785553420233523,4.459557395808168,5000
swiss_roll_with_hole,conventional,sigma_0.08,0.08,bottleneck_extended_pd,30,0.7104058621215684,0.28515925338949777,0.6218109864526957,0.6139633232587602,0.811025736878744,5000
swiss_roll_with_hole,conventional,sigma_0.08,0.08,wasserstein_extended_pd,30,5.794896481774917,0.9700443402842628,5.737960517015898,5.451863768891491,6.144590559748175,5000
swiss_roll_with_hole,conventional,sigma_0.10,0.1,bottleneck_extended_pd,30,0.6836082141312805,0.21287051246657188,0.6379392399709556,0.6120725871571083,0.7558867982550662,5000
swiss_roll_with_hole,conventional,sigma_0.10,0.1,wasserstein_extended_pd,30,6.481171128401028,1.0613418492225468,6.296243725403283,6.122825718657138,6.861312459298004,5000
swiss_roll_with_hole,f_mapper,sigma_0.00,0.0,bottleneck_extended_pd,1,2.1507699361758847e-308,0.0,2.1507699361758847e-308,2.1507699361758847e-308,2.1507699361758847e-308,5000
swiss_roll_with_hole,f_mapper,sigma_0.00,0.0,wasserstein_extended_pd,1,0.0,0.0,0.0,0.0,0.0,5000
swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,bottleneck_extended_pd,30,0.44685735793780285,0.1751116082551806,0.4479978748715947,0.38473103707471956,0.5050812993892956,5000
swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,wasserstein_extended_pd,30,1.176390496062657,0.42758484325628354,1.188246940217534,1.0314538182893853,1.3282474525376313,5000
swiss_roll_with_hole,f_mapper,sigma_0.03,0.03,bottleneck_extended_pd,30,0.5597790720393779,0.18324864544966474,0.5946739342054412,0.49593226012179265,0.6248351813571551,5000
swiss_roll_with_hole,f_mapper,sigma_0.03,0.03,wasserstein_extended_pd,30,2.874414739041174,0.7289941791689596,2.8725674587688887,2.6164523577643903,3.1331349466718135,5000
swiss_roll_with_hole,f_mapper,sigma_0.05,0.05,bottleneck_extended_pd,30,0.5963945691091012,0.18961886398764408,0.5677198474553693,0.5289552328757919,0.6626897674435359,5000
swiss_roll_with_hole,f_mapper,sigma_0.05,0.05,wasserstein_extended_pd,30,3.8422633818162013,0.8369983358612871,3.8200694935397603,3.5414663604130627,4.140969639492605,5000
swiss_roll_with_hole,f_mapper,sigma_0.08,0.08,bottleneck_extended_pd,30,0.831784856393593,0.43468124116259155,0.6686357393391837,0.6821929119758806,0.9944512543873405,5000
swiss_roll_with_hole,f_mapper,sigma_0.08,0.08,wasserstein_extended_pd,30,5.291603202931645,1.106615122942297,5.10166454791386,4.899129221883545,5.6748378887759126,5000
swiss_roll_with_hole,f_mapper,sigma_0.10,0.1,bottleneck_extended_pd,29,0.7550101943198517,0.331384288684017,0.6709969845827741,0.6430754417890158,0.8799470803204186,5000
swiss_roll_with_hole,f_mapper,sigma_0.10,0.1,wasserstein_extended_pd,29,5.808698874076235,1.1484082455915563,6.0333399026257375,5.386406618494782,6.233344092196765,5000
