run_id,dataset_id,method_id,noise_condition_id,noise_sigma,replication_id,perturbation_seed,data_seed,status,scientific_evidence_eligible,primary_stability_eligible,bottleneck_distance,wasserstein_distance,coverage_fraction,n_nodes,n_edges,n_components,beta_0_graph,beta_1_graph,beta_0_nerve,beta_1_nerve,wall_time_seconds,cpu_time_seconds
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep9__b42cf2bc7ff1d793,swiss_roll_with_hole,conventional,sigma_0.01,0.01,9,865897115.0,42,success,True,True,0.22703816799206678,1.1594539501043695,0.9531459170013387,141.0,61.0,80.0,80.0,0.0,80.0,0.0,0.029913164999925357,0.02991238999999979
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep9__f81fdf832d137f09,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,9,865897115.0,42,success,True,True,0.6029485452646259,2.042541970566562,0.9531459170013387,125.0,45.0,80.0,80.0,0.0,80.0,0.0,5.331097733000206,5.329650873000006
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep10__e4a3add1d0ec7e1f,swiss_roll_with_hole,conventional,sigma_0.01,0.01,10,1646104963.0,42,success,True,True,0.2857604310404209,0.6614837770070956,0.9522534582775547,147.0,64.0,83.0,83.0,0.0,83.0,0.0,0.031534464999822376,0.03153355399999924
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep10__178ce23be7214359,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,10,1646104963.0,42,success,True,True,0.6057824891776917,1.1092957273164616,0.9522534582775547,124.0,41.0,83.0,83.0,0.0,83.0,0.0,6.32834756200009,6.325886773000001
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep11__06e9f7482385cfd1,swiss_roll_with_hole,conventional,sigma_0.01,0.01,11,1595304498.0,42,success,True,True,0.6215566118480216,1.4351328316237382,0.9540383757251227,144.0,63.0,81.0,81.0,0.0,81.0,0.0,0.03622239400010585,0.03622010499999817
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep11__3470ce98d778f652,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,11,1595304498.0,42,success,True,True,0.5354473480004245,2.1566553260286128,0.9540383757251227,126.0,45.0,81.0,81.0,0.0,81.0,0.0,5.1280381939996005,5.12715178700001
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep12__0f1a7d668f09c8bc,swiss_roll_with_hole,conventional,sigma_0.01,0.01,12,838379405.0,42,success,True,True,0.15930703620457987,0.7624669168644793,0.9549308344489067,140.0,58.0,82.0,82.0,0.0,82.0,0.0,0.029544265000367886,0.029542845999998235
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep12__4376a70edab807c2,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,12,838379405.0,42,success,True,True,0.22702348931453065,0.6990006585886088,0.9549308344489067,127.0,45.0,82.0,82.0,0.0,82.0,0.0,5.269724005000171,5.267954950000004
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep13__28192938bfee802d,swiss_roll_with_hole,conventional,sigma_0.01,0.01,13,1244850969.0,42,success,True,True,0.2865191456760101,1.1283044360461467,0.9531459170013387,141.0,59.0,82.0,82.0,0.0,82.0,0.0,0.033517158999529784,0.03351649799999734
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep13__4ab92120ea4381c4,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,13,1244850969.0,42,success,True,True,0.397889780729173,1.2597670678672754,0.9531459170013387,129.0,47.0,82.0,82.0,0.0,82.0,0.0,5.245254911999837,5.24432212100001
