planned_unit_id,historical_source_run_id,dataset_id,method_id,sigma,replicate,r0_clean_match,r0_pert_match,historical_status,reconstructed_status,status_match,structural_fingerprint_match,pullback_identity_match,membership_persisted
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep24,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep24,unit_circle_S1,f_mapper,0.03,24,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep25,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep25,unit_circle_S1,conventional,0.03,25,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep25,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep25,unit_circle_S1,f_mapper,0.03,25,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep26,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep26,unit_circle_S1,conventional,0.03,26,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep26,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep26,unit_circle_S1,f_mapper,0.03,26,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep27,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep27,unit_circle_S1,conventional,0.03,27,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep27,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep27,unit_circle_S1,f_mapper,0.03,27,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep28,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep28,unit_circle_S1,conventional,0.03,28,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep28,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep28,unit_circle_S1,f_mapper,0.03,28,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep29,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep29,unit_circle_S1,conventional,0.03,29,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep29,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep29,unit_circle_S1,f_mapper,0.03,29,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep30,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep30,unit_circle_S1,conventional,0.03,30,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep30,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep30,unit_circle_S1,f_mapper,0.03,30,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep01,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep01,unit_circle_S1,conventional,0.05,1,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep01,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep01,unit_circle_S1,f_mapper,0.05,1,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep02,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep02,unit_circle_S1,conventional,0.05,2,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep02,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep02,unit_circle_S1,f_mapper,0.05,2,True,True,fcm_non_convergence,fcm_non_convergence,True,N/A_failure,N/A_failure,N/A_failure
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep03,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep03,unit_circle_S1,conventional,0.05,3,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep03,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep03,unit_circle_S1,f_mapper,0.05,3,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep04,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep04,unit_circle_S1,conventional,0.05,4,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep04,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep04,unit_circle_S1,f_mapper,0.05,4,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep05,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep05,unit_circle_S1,conventional,0.05,5,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep05,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep05,unit_circle_S1,f_mapper,0.05,5,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep06,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep06,unit_circle_S1,conventional,0.05,6,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep06,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep06,unit_circle_S1,f_mapper,0.05,6,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep07,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep07,unit_circle_S1,conventional,0.05,7,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep07,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep07,unit_circle_S1,f_mapper,0.05,7,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep08,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep08,unit_circle_S1,conventional,0.05,8,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep08,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep08,unit_circle_S1,f_mapper,0.05,8,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep09,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep09,unit_circle_S1,conventional,0.05,9,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep09,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep09,unit_circle_S1,f_mapper,0.05,9,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep10,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep10,unit_circle_S1,conventional,0.05,10,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep10,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep10,unit_circle_S1,f_mapper,0.05,10,True,True,fcm_non_convergence,fcm_non_convergence,True,N/A_failure,N/A_failure,N/A_failure
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep11,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep11,unit_circle_S1,conventional,0.05,11,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep11,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep11,unit_circle_S1,f_mapper,0.05,11,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep12,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep12,unit_circle_S1,conventional,0.05,12,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep12,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep12,unit_circle_S1,f_mapper,0.05,12,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep13,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep13,unit_circle_S1,conventional,0.05,13,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep13,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep13,unit_circle_S1,f_mapper,0.05,13,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep14,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep14,unit_circle_S1,conventional,0.05,14,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep14,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep14,unit_circle_S1,f_mapper,0.05,14,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep15,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep15,unit_circle_S1,conventional,0.05,15,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep15,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep15,unit_circle_S1,f_mapper,0.05,15,True,True,fcm_non_convergence,fcm_non_convergence,True,N/A_failure,N/A_failure,N/A_failure
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep16,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep16,unit_circle_S1,conventional,0.05,16,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep16,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep16,unit_circle_S1,f_mapper,0.05,16,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep17,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep17,unit_circle_S1,conventional,0.05,17,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep17,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep17,unit_circle_S1,f_mapper,0.05,17,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep18,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep18,unit_circle_S1,conventional,0.05,18,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep18,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep18,unit_circle_S1,f_mapper,0.05,18,True,True,fcm_non_convergence,fcm_non_convergence,True,N/A_failure,N/A_failure,N/A_failure
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep19,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep19,unit_circle_S1,conventional,0.05,19,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep19,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep19,unit_circle_S1,f_mapper,0.05,19,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep20,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep20,unit_circle_S1,conventional,0.05,20,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep20,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep20,unit_circle_S1,f_mapper,0.05,20,True,True,fcm_non_convergence,fcm_non_convergence,True,N/A_failure,N/A_failure,N/A_failure
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep21,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep21,unit_circle_S1,conventional,0.05,21,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep21,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep21,unit_circle_S1,f_mapper,0.05,21,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep22,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep22,unit_circle_S1,conventional,0.05,22,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep22,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep22,unit_circle_S1,f_mapper,0.05,22,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep23,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep23,unit_circle_S1,conventional,0.05,23,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep23,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep23,unit_circle_S1,f_mapper,0.05,23,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep24,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep24,unit_circle_S1,conventional,0.05,24,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep24,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep24,unit_circle_S1,f_mapper,0.05,24,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep25,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep25,unit_circle_S1,conventional,0.05,25,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep25,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep25,unit_circle_S1,f_mapper,0.05,25,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep26,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep26,unit_circle_S1,conventional,0.05,26,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep26,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep26,unit_circle_S1,f_mapper,0.05,26,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep27,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep27,unit_circle_S1,conventional,0.05,27,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep27,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep27,unit_circle_S1,f_mapper,0.05,27,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep28,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep28,unit_circle_S1,conventional,0.05,28,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep28,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep28,unit_circle_S1,f_mapper,0.05,28,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep29,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep29,unit_circle_S1,conventional,0.05,29,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep29,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep29,unit_circle_S1,f_mapper,0.05,29,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep30,M6A__unit_circle_S1__N1000__conventional__sigma_0.05__rep30,unit_circle_S1,conventional,0.05,30,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep30,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.05__rep30,unit_circle_S1,f_mapper,0.05,30,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep01,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep01,unit_circle_S1,conventional,0.08,1,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep01,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep01,unit_circle_S1,f_mapper,0.08,1,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep02,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep02,unit_circle_S1,conventional,0.08,2,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep02,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep02,unit_circle_S1,f_mapper,0.08,2,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep03,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep03,unit_circle_S1,conventional,0.08,3,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep03,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep03,unit_circle_S1,f_mapper,0.08,3,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep04,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep04,unit_circle_S1,conventional,0.08,4,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep04,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep04,unit_circle_S1,f_mapper,0.08,4,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep05,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep05,unit_circle_S1,conventional,0.08,5,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep05,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep05,unit_circle_S1,f_mapper,0.08,5,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep06,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep06,unit_circle_S1,conventional,0.08,6,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep06,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep06,unit_circle_S1,f_mapper,0.08,6,True,True,fcm_non_convergence,fcm_non_convergence,True,N/A_failure,N/A_failure,N/A_failure
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep07,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep07,unit_circle_S1,conventional,0.08,7,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep07,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep07,unit_circle_S1,f_mapper,0.08,7,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep08,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep08,unit_circle_S1,conventional,0.08,8,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep08,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep08,unit_circle_S1,f_mapper,0.08,8,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep09,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep09,unit_circle_S1,conventional,0.08,9,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep09,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep09,unit_circle_S1,f_mapper,0.08,9,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep10,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep10,unit_circle_S1,conventional,0.08,10,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep10,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep10,unit_circle_S1,f_mapper,0.08,10,True,True,fcm_non_convergence,fcm_non_convergence,True,N/A_failure,N/A_failure,N/A_failure
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep11,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep11,unit_circle_S1,conventional,0.08,11,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep11,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep11,unit_circle_S1,f_mapper,0.08,11,True,True,fcm_non_convergence,fcm_non_convergence,True,N/A_failure,N/A_failure,N/A_failure
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep12,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep12,unit_circle_S1,conventional,0.08,12,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep12,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep12,unit_circle_S1,f_mapper,0.08,12,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep13,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep13,unit_circle_S1,conventional,0.08,13,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep13,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep13,unit_circle_S1,f_mapper,0.08,13,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep14,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep14,unit_circle_S1,conventional,0.08,14,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep14,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep14,unit_circle_S1,f_mapper,0.08,14,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep15,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep15,unit_circle_S1,conventional,0.08,15,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep15,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep15,unit_circle_S1,f_mapper,0.08,15,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep16,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep16,unit_circle_S1,conventional,0.08,16,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep16,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep16,unit_circle_S1,f_mapper,0.08,16,True,True,fcm_non_convergence,fcm_non_convergence,True,N/A_failure,N/A_failure,N/A_failure
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep17,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep17,unit_circle_S1,conventional,0.08,17,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep17,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep17,unit_circle_S1,f_mapper,0.08,17,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep18,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep18,unit_circle_S1,conventional,0.08,18,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep18,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep18,unit_circle_S1,f_mapper,0.08,18,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep19,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep19,unit_circle_S1,conventional,0.08,19,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep19,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep19,unit_circle_S1,f_mapper,0.08,19,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep20,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep20,unit_circle_S1,conventional,0.08,20,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep20,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep20,unit_circle_S1,f_mapper,0.08,20,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep21,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep21,unit_circle_S1,conventional,0.08,21,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep21,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep21,unit_circle_S1,f_mapper,0.08,21,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep22,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep22,unit_circle_S1,conventional,0.08,22,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep22,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep22,unit_circle_S1,f_mapper,0.08,22,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep23,M6A__unit_circle_S1__N1000__conventional__sigma_0.08__rep23,unit_circle_S1,conventional,0.08,23,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep23,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.08__rep23,unit_circle_S1,f_mapper,0.08,23,True,True,success,success,True,True,True,True
