planned_unit_id,historical_source_run_id,dataset_id,method_id,sigma,replicate,r0_clean_match,r0_pert_match,historical_status,reconstructed_status,status_match,structural_fingerprint_match,pullback_identity_match,membership_persisted
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep11,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep11,unit_circle_S1,f_mapper,0.01,11,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep12,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep12,unit_circle_S1,conventional,0.01,12,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep12,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep12,unit_circle_S1,f_mapper,0.01,12,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep13,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep13,unit_circle_S1,conventional,0.01,13,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep13,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep13,unit_circle_S1,f_mapper,0.01,13,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep14,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep14,unit_circle_S1,conventional,0.01,14,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep14,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep14,unit_circle_S1,f_mapper,0.01,14,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep15,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep15,unit_circle_S1,conventional,0.01,15,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep15,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep15,unit_circle_S1,f_mapper,0.01,15,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep16,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep16,unit_circle_S1,conventional,0.01,16,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep16,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep16,unit_circle_S1,f_mapper,0.01,16,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep17,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep17,unit_circle_S1,conventional,0.01,17,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep17,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep17,unit_circle_S1,f_mapper,0.01,17,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep18,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep18,unit_circle_S1,conventional,0.01,18,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep18,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep18,unit_circle_S1,f_mapper,0.01,18,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep19,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep19,unit_circle_S1,conventional,0.01,19,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep19,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep19,unit_circle_S1,f_mapper,0.01,19,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep20,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep20,unit_circle_S1,conventional,0.01,20,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep20,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep20,unit_circle_S1,f_mapper,0.01,20,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep21,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep21,unit_circle_S1,conventional,0.01,21,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep21,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep21,unit_circle_S1,f_mapper,0.01,21,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep22,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep22,unit_circle_S1,conventional,0.01,22,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep22,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep22,unit_circle_S1,f_mapper,0.01,22,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep23,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep23,unit_circle_S1,conventional,0.01,23,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep23,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep23,unit_circle_S1,f_mapper,0.01,23,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep24,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep24,unit_circle_S1,conventional,0.01,24,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep24,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep24,unit_circle_S1,f_mapper,0.01,24,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep25,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep25,unit_circle_S1,conventional,0.01,25,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep25,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep25,unit_circle_S1,f_mapper,0.01,25,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep26,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep26,unit_circle_S1,conventional,0.01,26,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep26,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep26,unit_circle_S1,f_mapper,0.01,26,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep27,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep27,unit_circle_S1,conventional,0.01,27,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep27,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep27,unit_circle_S1,f_mapper,0.01,27,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep28,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep28,unit_circle_S1,conventional,0.01,28,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep28,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep28,unit_circle_S1,f_mapper,0.01,28,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep29,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep29,unit_circle_S1,conventional,0.01,29,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep29,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep29,unit_circle_S1,f_mapper,0.01,29,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep30,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep30,unit_circle_S1,conventional,0.01,30,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep30,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep30,unit_circle_S1,f_mapper,0.01,30,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep01,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep01,unit_circle_S1,conventional,0.03,1,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep01,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep01,unit_circle_S1,f_mapper,0.03,1,True,True,success,success,True,True,True,True
