matched_index_id,historical_source_run_id,shared_construction_id,axis1_record_id,axis2_record_id,dataset_id,method_id,noise_sigma,replicate_id,clean_dataset_hash,perturbed_dataset_hash,evidence_role
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep05,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep05,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep05,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep05,unit_circle_S1,conventional,0.01,5,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,97863ebf43c305e8b9368caad15ac9bec66243a47b75e9c7804cc4f99b71acc5,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep05,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep05,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep05,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep05,unit_circle_S1,f_mapper,0.01,5,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,97863ebf43c305e8b9368caad15ac9bec66243a47b75e9c7804cc4f99b71acc5,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep06,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep06,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep06,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep06,unit_circle_S1,conventional,0.01,6,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,70113ef21b66f79be25631cf64b32e0106a184d3fa02e7c55600fb557d784a34,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep06,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep06,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep06,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep06,unit_circle_S1,f_mapper,0.01,6,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,70113ef21b66f79be25631cf64b32e0106a184d3fa02e7c55600fb557d784a34,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep07,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep07,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep07,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep07,unit_circle_S1,conventional,0.01,7,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,3b28a28d9ac0c5a4d9edbdcd0a8430c87db015f5f95877a6ef777e55413a2591,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep07,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep07,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep07,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep07,unit_circle_S1,f_mapper,0.01,7,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,3b28a28d9ac0c5a4d9edbdcd0a8430c87db015f5f95877a6ef777e55413a2591,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep08,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep08,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep08,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep08,unit_circle_S1,conventional,0.01,8,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,6ab6f697d8797b14268ca7574d91673d45eeb4fde36fec481f71c45ec6e2e1d5,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep08,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep08,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep08,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep08,unit_circle_S1,f_mapper,0.01,8,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,6ab6f697d8797b14268ca7574d91673d45eeb4fde36fec481f71c45ec6e2e1d5,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep09,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep09,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep09,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep09,unit_circle_S1,conventional,0.01,9,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,dd9338db9c346cde2f421646b9f72ac40385e7e726cacb11f32bf2066ea513af,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep09,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep09,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep09,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep09,unit_circle_S1,f_mapper,0.01,9,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,dd9338db9c346cde2f421646b9f72ac40385e7e726cacb11f32bf2066ea513af,retrospective_axis2_derivation
