planned_unit_id,campaign_category,dataset_id,method_id,noise_sigma,replicate_id,construction_time_seconds,axis1_metric_time_seconds,axis2_metric_time_seconds,wall_time_seconds,cpu_time_seconds,peak_memory_bytes
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep11,circle_retrospective,unit_circle_S1,f_mapper,0.01,11,4.569957535999947,0.0,0.04009527599964713,4.610261268999693,5.627207260000006,613218
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep12,circle_retrospective,unit_circle_S1,conventional,0.01,12,0.039311113999701774,0.0,0.03660988199999338,0.07620969600020544,0.4571433309999975,625981
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep12,circle_retrospective,unit_circle_S1,f_mapper,0.01,12,4.2124607010000545,0.0,0.03704085200024565,4.249873389000186,5.2471713850000015,615359
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep13,circle_retrospective,unit_circle_S1,conventional,0.01,13,0.0388105900001392,0.0,0.03745611200019994,0.07647912599986739,0.4585937320000113,608576
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep13,circle_retrospective,unit_circle_S1,f_mapper,0.01,13,5.109788713000398,0.0,0.04023441700019248,5.1502862520001145,6.162283584000008,611602
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep14,circle_retrospective,unit_circle_S1,conventional,0.01,14,0.040100793999954476,0.0,0.03885774699983813,0.07925906199989186,0.4752160709999913,621606
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep14,circle_retrospective,unit_circle_S1,f_mapper,0.01,14,6.814549193999937,0.0,0.03740992799976084,6.852274482000212,7.841297076999993,614540
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep15,circle_retrospective,unit_circle_S1,conventional,0.01,15,0.03743167899983746,0.0,0.038636820999727206,0.07639736600003744,0.4580783319999995,623101
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep15,circle_retrospective,unit_circle_S1,f_mapper,0.01,15,6.203905090000262,0.0,0.040987068000049476,6.245331483999962,7.258327623999989,612345
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep16,circle_retrospective,unit_circle_S1,conventional,0.01,16,0.04014295299975856,0.0,0.04029027299975496,0.08067797200010318,0.4840121109999984,609779
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep16,circle_retrospective,unit_circle_S1,f_mapper,0.01,16,4.701680142999976,0.0,0.04045869199990193,4.742537193000317,5.7492511489999885,615926
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep17,circle_retrospective,unit_circle_S1,conventional,0.01,17,0.0395836769998823,0.0,0.040248221999718226,0.08007581300034872,0.4803899789999946,613765
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep17,circle_retrospective,unit_circle_S1,f_mapper,0.01,17,6.257474443000319,0.0,0.043893779999962135,6.301717527000164,7.330744402999983,613145
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep18,circle_retrospective,unit_circle_S1,conventional,0.01,18,0.04063492300019789,0.0,0.0408697090001624,0.08187604800014014,0.4911893539999994,630718
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep18,circle_retrospective,unit_circle_S1,f_mapper,0.01,18,4.681464358000085,0.0,0.039936713999850326,4.721720199000174,5.724815751999984,614780
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep19,circle_retrospective,unit_circle_S1,conventional,0.01,19,0.04052962099967772,0.0,0.040454928999679396,0.08120534099998622,0.4865779629999736,618301
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep19,circle_retrospective,unit_circle_S1,f_mapper,0.01,19,6.9294809039997745,0.0,0.04121268399967448,6.9710117829999945,7.980946783000007,612362
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep20,circle_retrospective,unit_circle_S1,conventional,0.01,20,0.03900604000000385,0.0,0.04155199899969375,0.08082598900000448,0.48485857700001134,622968
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep20,circle_retrospective,unit_circle_S1,f_mapper,0.01,20,5.444829909999953,0.0,0.0384841659997619,5.48361634999992,6.483124662000023,612635
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep21,circle_retrospective,unit_circle_S1,conventional,0.01,21,0.03668916399965383,0.0,0.03789386399967043,0.07495401300002413,0.449668427000006,641567
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep21,circle_retrospective,unit_circle_S1,f_mapper,0.01,21,3.883567641999889,0.0,0.0401434599998538,3.923928695000086,4.938976255,611402
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep22,circle_retrospective,unit_circle_S1,conventional,0.01,22,0.03928343500001574,0.0,0.04090895499984981,0.0805004559997542,0.482915265999992,617188
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep22,circle_retrospective,unit_circle_S1,f_mapper,0.01,22,4.908620472000166,0.0,0.03961858299999221,4.94846415200027,5.953572283,620223
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep23,circle_retrospective,unit_circle_S1,conventional,0.01,23,0.04013201800034949,0.0,0.04123431200014238,0.08167613800014806,0.48959698400000207,613185
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep23,circle_retrospective,unit_circle_S1,f_mapper,0.01,23,6.032910412999627,0.0,0.041063214000132575,6.074400328000138,7.088171595000006,611770
